pos,POS-map_to
eng-JJ,POS-adj
eng-JJR,POS-adj
eng-JJS,POS-adj
eng-PDT,POS-adj
a,POS-adj
ag,POS-adj
ad,POS-adj
an,POS-adj
b,POS-adj
i,POS-adj
z,POS-adj
adj,POS-adj
eng-RB,POS-adv
eng-RBR,POS-adv
eng-RBS,POS-adv
eng-WRB,POS-adv
d,POS-adv
dg,POS-adv
h,POS-adv
t,POS-adv
zg,POS-adv
adv,POS-adv
eng-CC,POS-conj
c,POS-conj
conj,POS-conj
eng-UH,POS-int
e,POS-int
int,POS-int
m,POS-m
eng-CD,POS-n
eng-DT,POS-adv
eng-EX,POS-n
eng-NN,POS-n
eng-NNS,POS-n
eng-NNP,POS-n
eng-NNPS,POS-n
eng-URL,POS-n
eng-WDT,POS-n
j,POS-n
mg,POS-n
n,POS-n
ng,POS-n
nr,POS-n
nrfg,POS-n
nrt,POS-n
ns,POS-n
nt,POS-n
nz,POS-n
s,POS-n
tg,POS-n
url,POS-n
o,POS-o
eng-IN,POS-prep
eng-POS,POS-prep
eng-RP,POS-prep
eng-TO,POS-prep
p,POS-prep
prep,POS-prep
eng-PP$,POS-pron
eng-PRP,POS-pron
eng-WP,POS-pron
eng-WP$,POS-pron
k,POS-pron
mq,POS-pron
r,POS-pron
rg,POS-pron
rr,POS-pron
rz,POS-pron
pron,POS-pron
eng-LS,POS-punc
eng-SYM,POS-punc
"eng-,",POS-punc
eng-.,POS-punc 
eng-:,POS-punc
eng-$,POS-punc
eng-#,POS-punc
"eng-""",POS-punc
eng-(,POS-punc
eng-),POS-punc
w,POS-punc
w-BACK-SLOPING-COMMA,POS-punc
w-COMMA,POS-punc
w-DASH,POS-punc
w-ELLIPSIS,POS-punc
w-EXCTAMATION,POS-punc
w-FORWARD-SLASH,POS-punc
w-GUILLEMET,POS-punc
w-GUILLEMET-LEFT,POS-punc
w-GUILLEMET-RIGHT,POS-punc
w-PARENTHESES-BRACE-LEFT,POS-punc
w-PARENTHESES-BRACE-RIGHT,POS-punc
w-PARENTHESES-COLON,POS-punc
w-PARENTHESES-LEFT,POS-punc
w-PARENTHESES-QUOTATION-LEFT,POS-punc
w-PARENTHESES-QUOTATION-RIGHT,POS-punc
w-PARENTHESES-QUOTATION,POS-punc
w-PARENTHESES-RIGHT,POS-punc
w-PARENTHESES-SEMICOLON,POS-punc
w-PARENTHESES-SQUARE-BRACKET-LEFT,POS-punc
w-PARENTHESES-SQUARE-BRACKET-RIGHT,POS-punc
w-PERIOD,POS-punc
w-QUESTION,POS-punc
w-SEPARATION-DOT,POS-punc
w-MATH,POS-punc
w-SLASH,POS-punc
punc,POS-punc
q,POS-q
u,POS-u
ud,POS-u
uj,POS-u
uv,POS-u
ug,POS-u
ul,POS-u
uz,POS-u
y,POS-u
eng-FW,POS-unknown
eng,POS-unknown
g,POS-unknown
l,POS-unknown
x,POS-unknown
eng-MD,POS-v
eng-VB,POS-v
eng-VBD,POS-v
eng-VBG,POS-v
eng-VBN,POS-v
eng-VBP,POS-v
eng-VBZ,POS-v
df,POS-v
f,POS-v
v,POS-v
vg,POS-v
vd,POS-v
vi,POS-v
vn,POS-v
vq,POS-v
yg,POS-n
